ECCOLA_Code,Questions
# 0 Stakeholder Analysis,"Who does the system affect, and how? Stakeholders are not simply users, developers and customers."
# 0 Stakeholder Analysis,How are the various stakeholders linked together?
# 0 Stakeholder Analysis,Can these different stakeholders influence the development of the system? How?
# 0 Stakeholder Analysis,"Remember that a user is often an organization and the end-user is an individual. Similarly, AI systems can treat people as objects for data collection."
# 1 Typesof Transparency,Are you trying to understand something? (Internal transparency)
# 1 Typesof Transparency,Are you trying to explain something? (External transparency)
# 1 Typesof Transparency,Are you trying to understand or explain how the system works? (Transparency of algorithms and data)
# 1 Typesof Transparency,Are you trying to understand or explain why the system was made to be the way it now is? (Transparency of system development)
# 2 Explainability,Is explainability a goal for your system? How do you plan to ensure it?
# 2 Explainability,How well can each decision of the system be understood? By both developers and (end-)users.
# 2 Explainability,Did you try to use the simplest and most interpretable model possible for the context?
# 2 Explainability,Did you make trade-offs between explainabilityand accuracy? What kind of? Why?
# 2 Explainability,How familiar are you with your training or testing data? Can you change it when needed?
# 2 Explainability,"If you utilize third party components in the system, how well do you understand them?"
# 3 Communication,What is the goal of the system? Why is this particular system deployed in this specific area? 
# 3 Communication,What do you communicate about the system to its users and end-users? Is it enough for them to understand how the system works?
# 3 Communication,"If relevant to your system, do you somehow tell your (end-)users that they are interacting with an AI system and not with another human being?"
# 3 Communication,Do you collect user feedback? How is it used to change/improve the system?
# 3 Communication,"Are communication and transparency towards other audiences, such as the general public, relevant?"
# 4 Documenting Trade-offs,Are relevant interests and values implicated by the system and potential trade-offs between them identified and documented? 
# 4 Documenting Trade-offs,Who decides on such trade-offs (e.g. between two competing solutions) and how? Did you ensure that the trade-off decision and the reasons behind it were documented?
# 5 Traceability,"How have you documented the development of the system, both in terms of code and decision-making? How was the model built or the AI trained? "
# 5 Traceability,How have you documented the testing and validation process? In terms of data and scenarios used etc.
# 5 Traceability,How do you document the actions of the system? What about alternate actions (e.g. if the user was different but the situation otherwise the same)?
# 6 System Reliability,How do you test if the system fulfills its goals?
# 6 System Reliability,"Have you tested the system comprehensively, including unlikely scenarios? Have the tests been documented?"
# 6 System Reliability,"When the system fails in a certain scenario, will you be able to tell why? Can you replicate the failure?"
# 6 System Reliability,How do you assure the (end-)user of the system�s reliability?
# 7 Privacy and Data,What data are used by the system?
# 7 Privacy and Data,Does the system use or collect personal data? Why? How is the personal data used?
# 7 Privacy and Data,"Do you clearly inform your (end-)users about any personal data collection? E.g., ask for consent, provide an opportunity to revoke it etc."
# 7 Privacy and Data,"Have you taken measures to enhance (end-user) privacy, such as encryption or anonymization? "
# 7 Privacy and Data,Who makes the decisions regarding data use and collection? Do you have organizational policies for it?
# 8 Data Quality,What are good or poor quality data in the context of your system?
# 8 Data Quality,How do you evaluate the quality and integrity of your own data? Are there alternative ways?
# 8 Data Quality,"If you utilize data from external sources, how do you control their quality?"
# 8 Data Quality,"Did you align your system with relevant standards (for example ISO, IEEE) or widely adopted protocols for daily data management and governance?"
# 8 Data Quality,How can you tell if your data sets have been hacked or otherwise compromised?
# 8 Data Quality,"Who handles the data collection, storage, and use?"
# 9 Access to Data,"Who can access the users� data, and under what circumstances? "
